hold,rebalance,k_pct,exec_lag,cost,gross_sharpe,net_sharpe,ann_return,max_drawdown,turnover_annual,cost_drag_annual,n_bars
4,1,0.1,1,low,-0.4955406862517276,-3.0716668414596384,-0.6096988607902628,-0.9476554203541602,3765.1865040280827,0.7530373008056165,26398
4,1,0.1,1,med,-0.4955406862517276,-10.156749892586298,-0.9508145903530878,-0.9998860668899467,3765.1865040280827,2.8238898780210624,26398
4,1,0.1,1,high,-0.4955406862517276,-19.81499986238651,-0.9970838737955984,-0.9999999771094947,3765.1865040280827,5.647779756042126,26398
4,1,0.1,2,low,-0.8382415420178932,-3.485188967297778,-0.6437543881719394,-0.9573451854200845,3765.020582367351,0.7530041164734702,26398
4,1,0.1,2,med,-0.8382415420178932,-10.763758872262263,-0.9551035837084089,-0.999913207961415,3765.020582367351,2.823765436775514,26398
4,1,0.1,2,high,-0.8382415420178932,-20.682424819202623,-0.9973379468589986,-0.9999999825832544,3765.020582367351,5.647530873551027,26398
4,1,0.2,1,low,-0.3456307197239422,-4.247441914700746,-0.5341346451174537,-0.9028677146121604,3436.8499236955176,0.6873699847391036,26398
4,1,0.2,1,med,-0.3456307197239422,-14.976631541465455,-0.9296659616913827,-0.9996646220902362,3436.8499236955176,2.5776374427716386,26398
4,1,0.2,1,high,-0.3456307197239422,-29.591221476187094,-0.9946642129023544,-0.9999998584271044,3436.8499236955176,5.155274885543277,26398
4,1,0.2,2,low,-0.740819235085036,-4.733963716106357,-0.5638489385733501,-0.9183109613713896,3436.731408223566,0.6873462816447132,26398
4,1,0.2,2,med,-0.740819235085036,-15.713258592250517,-0.9341488442668047,-0.999724719228993,3436.731408223566,2.5775485561676748,26398
4,1,0.2,2,high,-0.740819235085036,-30.665351572888667,-0.9950039655012581,-0.9999998838882863,3436.731408223566,5.1550971123353495,26398
4,1,0.3,1,low,-0.16960704077997915,-4.85419831441672,-0.47868009346680396,-0.8631777811183694,3100.6786326787833,0.6201357265357568,26398
4,1,0.3,1,med,-0.16960704077997915,-17.731594231898114,-0.905302172521576,-0.9991774641485713,3100.6786326787833,2.325508974509088,26398
4,1,0.3,1,high,-0.16960704077997915,-35.25144593112939,-0.9907536927915122,-0.9999992578257206,3100.6786326787833,4.6510179490181764,26398
4,1,0.3,2,low,-0.6726093445286779,-5.492954287844533,-0.51078369494775,-0.8853695370165372,3100.5579623800695,0.620111592476014,26398
4,1,0.3,2,med,-0.6726093445286779,-18.739948315257948,-0.9111292444387047,-0.9993206148287647,3100.5579623800695,2.3254184717850523,26398
4,1,0.3,2,high,-0.6726093445286779,-36.7525225295846,-0.9913220426690715,-0.9999993869691137,3100.5579623800695,4.650836943570105,26398
4,2,0.1,1,low,-0.5727156592874063,-2.9681675629917774,-0.6265440618604927,-0.9551997233342356,3774.1094022274415,0.7548218804454884,26398
4,2,0.1,1,med,-0.5727156592874063,-9.50550149410535,-0.9531939815415565,-0.9999018596356045,3774.1094022274415,2.8305820516705813,26398
4,2,0.1,1,high,-0.5727156592874063,-18.160268680844194,-0.9972478109445977,-0.9999999807812361,3774.1094022274415,5.661164103341162,26398
4,2,0.1,2,low,-0.6199093365647812,-3.082689083841473,-0.6291119394584388,-0.9516216595785559,3773.7775589059775,0.7547555117811956,26398
4,2,0.1,2,med,-0.6199093365647812,-9.819018061900447,-0.9534985515331502,-0.999903517224063,3773.7775589059775,2.8303331691794833,26398
4,2,0.1,2,high,-0.6199093365647812,-18.762411615505677,-0.997264333217953,-0.999999981091111,3773.7775589059775,5.6606663383589675,26398
4,2,0.2,1,low,-0.33367266098828696,-3.941448799762856,-0.5376493790241623,-0.9072878022294824,3447.0462047990645,0.6894092409598129,26398
4,2,0.2,1,med,-0.33367266098828696,-13.709515872179448,-0.9306158571839988,-0.9996783683744312,3447.0462047990645,2.5852846535992984,26398
4,2,0.2,1,high,-0.33367266098828696,-26.222259641391492,-0.9947828962288957,-0.9999998678114763,3447.0462047990645,5.170569307198596,26398
4,2,0.2,2,low,-0.6578649167795557,-4.3332903697477185,-0.5641340369171,-0.9193903488551102,3446.809173855162,0.6893618347710325,26398
4,2,0.2,2,med,-0.6578649167795557,-14.318407645763763,-0.9345753804726598,-0.9997300574956713,3446.809173855162,2.5851068803913715,26398
